"epoch","nudge 0.1 sigma  - _step","nudge 0.1 sigma  - _step__MIN","nudge 0.1 sigma  - _step__MAX","nudge 0.1 sigma  - class_nc_separation_0","nudge 0.1 sigma  - class_nc_separation_0__MIN","nudge 0.1 sigma  - class_nc_separation_0__MAX","nudge 0.1 sigma  - class value (0)","nudge 0.1 sigma  - class value (0)__MIN","nudge 0.1 sigma  - class value (0)__MAX","nudge 0.1 sigma  - class value (1)","nudge 0.1 sigma  - class value (1)__MIN","nudge 0.1 sigma  - class value (1)__MAX","nudge 0.1 sigma  - class value (2)","nudge 0.1 sigma  - class value (2)__MIN","nudge 0.1 sigma  - class value (2)__MAX","nudge 0.1 sigma  - class value (3)","nudge 0.1 sigma  - class value (3)__MIN","nudge 0.1 sigma  - class value (3)__MAX","nudge 0.1 sigma  - class value (4)","nudge 0.1 sigma  - class value (4)__MIN","nudge 0.1 sigma  - class value (4)__MAX","nudge 0.1 sigma  - class value (5)","nudge 0.1 sigma  - class value (5)__MIN","nudge 0.1 sigma  - class value (5)__MAX","nudge 0.1 sigma  - class value (6)","nudge 0.1 sigma  - class value (6)__MIN","nudge 0.1 sigma  - class value (6)__MAX","nudge 0.1 sigma  - class value (7)","nudge 0.1 sigma  - class value (7)__MIN","nudge 0.1 sigma  - class value (7)__MAX","nudge 0.1 sigma  - class value (8)","nudge 0.1 sigma  - class value (8)__MIN","nudge 0.1 sigma  - class value (8)__MAX","nudge 0.1 sigma  - class value (9)","nudge 0.1 sigma  - class value (9)__MIN","nudge 0.1 sigma  - class value (9)__MAX","nudge 0.1 sigma  - sigma_sum(0)","nudge 0.1 sigma  - sigma_sum(0)__MIN","nudge 0.1 sigma  - sigma_sum(0)__MAX","nudge 0.1 sigma  - sigma_sum(1)","nudge 0.1 sigma  - sigma_sum(1)__MIN","nudge 0.1 sigma  - sigma_sum(1)__MAX","nudge 0.1 sigma  - sigma_sum(2)","nudge 0.1 sigma  - sigma_sum(2)__MIN","nudge 0.1 sigma  - sigma_sum(2)__MAX","nudge 0.1 sigma  - sigma_sum(3)","nudge 0.1 sigma  - sigma_sum(3)__MIN","nudge 0.1 sigma  - sigma_sum(3)__MAX","nudge 0.1 sigma  - sigma_sum(4)","nudge 0.1 sigma  - sigma_sum(4)__MIN","nudge 0.1 sigma  - sigma_sum(4)__MAX","nudge 0.1 sigma  - sigma_sum(5)","nudge 0.1 sigma  - sigma_sum(5)__MIN","nudge 0.1 sigma  - sigma_sum(5)__MAX","nudge 0.1 sigma  - sigma_sum(6)","nudge 0.1 sigma  - sigma_sum(6)__MIN","nudge 0.1 sigma  - sigma_sum(6)__MAX","nudge 0.1 sigma  - sigma_sum(7)","nudge 0.1 sigma  - sigma_sum(7)__MIN","nudge 0.1 sigma  - sigma_sum(7)__MAX","nudge 0.1 sigma  - sigma_sum(8)","nudge 0.1 sigma  - sigma_sum(8)__MIN","nudge 0.1 sigma  - sigma_sum(8)__MAX","nudge 0.1 sigma  - sigma_sum(9)","nudge 0.1 sigma  - sigma_sum(9)__MIN","nudge 0.1 sigma  - sigma_sum(9)__MAX","nudge 0.1 sigma  - non-class value (0)","nudge 0.1 sigma  - non-class value (0)__MIN","nudge 0.1 sigma  - non-class value (0)__MAX","nudge 0.1 sigma  - non-class value (1)","nudge 0.1 sigma  - non-class value (1)__MIN","nudge 0.1 sigma  - non-class value (1)__MAX","nudge 0.1 sigma  - non-class value (2)","nudge 0.1 sigma  - non-class value (2)__MIN","nudge 0.1 sigma  - non-class value (2)__MAX","nudge 0.1 sigma  - non-class value (3)","nudge 0.1 sigma  - non-class value (3)__MIN","nudge 0.1 sigma  - non-class value (3)__MAX","nudge 0.1 sigma  - non-class value (4)","nudge 0.1 sigma  - non-class value (4)__MIN","nudge 0.1 sigma  - non-class value (4)__MAX","nudge 0.1 sigma  - non-class value (5)","nudge 0.1 sigma  - non-class value (5)__MIN","nudge 0.1 sigma  - non-class value (5)__MAX","nudge 0.1 sigma  - non-class value (6)","nudge 0.1 sigma  - non-class value (6)__MIN","nudge 0.1 sigma  - non-class value (6)__MAX","nudge 0.1 sigma  - non-class value (7)","nudge 0.1 sigma  - non-class value (7)__MIN","nudge 0.1 sigma  - non-class value (7)__MAX","nudge 0.1 sigma  - non-class value (8)","nudge 0.1 sigma  - non-class value (8)__MIN","nudge 0.1 sigma  - non-class value (8)__MAX","nudge 0.1 sigma  - non-class value (9)","nudge 0.1 sigma  - non-class value (9)__MIN","nudge 0.1 sigma  - non-class value (9)__MAX"
"0","4.5","0","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025113059017762226","0.025113059017762226","0.025113059017762226","0.014669184555125322","0.014669184555125322","0.014669184555125322","0.021870339099090128","0.021870339099090128","0.021870339099090128","0.02179979524248765","0.02179979524248765","0.02179979524248765","0.02333584981730238","0.02333584981730238","0.02333584981730238","0.022546604141539552","0.022546604141539552","0.022546604141539552","0.022449665776194325","0.022449665776194325","0.022449665776194325","0.021376756531091917","0.021376756531091917","0.021376756531091917","0.02296360473078189","0.02296360473078189","0.02296360473078189","0.021559703536754255","0.021559703536754255","0.021559703536754255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","324.48387096774195","10","979","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.016433288747793488","0.016433288747793488","0.016433288747793488","0.014312731306253566","0.014312731306253566","0.014312731306253566","0.014726206275421604","0.014726206275421604","0.014726206275421604","0.012860288192542261","0.012860288192542261","0.012860288192542261","0.014402370804174416","0.014402370804174416","0.014402370804174416","0.014131963587161614","0.014131963587161614","0.014131963587161614","0.015403230216165156","0.015403230216165156","0.015403230216165156","0.013890053398635424","0.013890053398635424","0.013890053398635424","0.0146823799076653","0.0146823799076653","0.0146823799076653","0.013443729474195483","0.013443729474195483","0.013443729474195483","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"1.999","1294.483870967742","980","1949","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.019235311762846576","0.019235311762846576","0.019235311762846576","0.02013436306583266","0.02013436306583266","0.02013436306583266","0.015691764911903248","0.015691764911903248","0.015691764911903248","0.012785605889823146","0.012785605889823146","0.012785605889823146","0.014537059469310819","0.014537059469310819","0.014537059469310819","0.013964620069987112","0.013964620069987112","0.013964620069987112","0.01647473857679671","0.01647473857679671","0.01647473857679671","0.014464008461742764","0.014464008461742764","0.014464008461742764","0.015133055619322657","0.015133055619322657","0.015133055619322657","0.013686475299963533","0.013686475299963533","0.013686475299963533","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"2.999","2264.483870967742","1950","2919","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.0343048216739307","0.0343048216739307","0.0343048216739307","0.04051461563525039","0.04051461563525039","0.04051461563525039","0.01948246189952508","0.01948246189952508","0.01948246189952508","0.014769718000039839","0.014769718000039839","0.014769718000039839","0.01945572924103512","0.01945572924103512","0.01945572924103512","0.016342282521944425","0.016342282521944425","0.016342282521944425","0.021233626228620732","0.021233626228620732","0.021233626228620732","0.018442345461320928","0.018442345461320928","0.018442345461320928","0.018294375366257082","0.018294375366257082","0.018294375366257082","0.01689578913063411","0.01689578913063411","0.01689578913063411","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"3.999","3234.483870967742","2920","3889","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.07066878788149507","0.07066878788149507","0.07066878788149507","0.08736206430010658","0.08736206430010658","0.08736206430010658","0.023953269773159022","0.023953269773159022","0.023953269773159022","0.015554215781788297","0.015554215781788297","0.015554215781788297","0.026487346211627134","0.026487346211627134","0.026487346211627134","0.019205711622718443","0.019205711622718443","0.019205711622718443","0.025572763920714","0.025572763920714","0.025572763920714","0.022446797591104784","0.022446797591104784","0.022446797591104784","0.021486134986738417","0.021486134986738417","0.021486134986738417","0.019775083694401195","0.019775083694401195","0.019775083694401195","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"4.999","4204.4838709677415","3890","4859","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.1483204728198918","0.1483204728198918","0.1483204728198918","0.16530319259583628","0.16530319259583628","0.16530319259583628","0.028628902083537345","0.028628902083537345","0.028628902083537345","0.01557218476175578","0.01557218476175578","0.01557218476175578","0.03605293956461594","0.03605293956461594","0.03605293956461594","0.021752390875594003","0.021752390875594003","0.021752390875594003","0.028927330300195855","0.028927330300195855","0.028927330300195855","0.026939222526332893","0.026939222526332893","0.026939222526332893","0.02391984263011461","0.02391984263011461","0.02391984263011461","0.02153090927848723","0.02153090927848723","0.02153090927848723","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"5.999","5174.4838709677415","4860","5829","0.1483204728198918","0.1483204728198918","0.1483204728198918","0.1483204728198918","0.1483204728198918","0.1483204728198918","0.16530319259583628","0.16530319259583628","0.16530319259583628","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.2779682855526951","0.2779682855526951","0.2779682855526951","0.2696179502439108","0.2696179502439108","0.2696179502439108","0.03621485721742262","0.03621485721742262","0.03621485721742262","0.01775553541845136","0.01775553541845136","0.01775553541845136","0.06422285208521632","0.06422285208521632","0.06422285208521632","0.028189677104444776","0.028189677104444776","0.028189677104444776","0.03467946383005088","0.03467946383005088","0.03467946383005088","0.034012470573605326","0.034012470573605326","0.034012470573605326","0.028826647788777707","0.028826647788777707","0.028826647788777707","0.025159844717570132","0.025159844717570132","0.025159844717570132","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"6.999","6144.4838709677415","5830","6799","0.2779682855526951","0.2779682855526951","0.2779682855526951","0.2779682855526951","0.2779682855526951","0.2779682855526951","0.2696179502439108","0.2696179502439108","0.2696179502439108","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.1","0.1","0.1","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3108206025805901","0.3108206025805901","0.3108206025805901","0.04182844952383934","0.04182844952383934","0.04182844952383934","0.020192213693352775","0.020192213693352775","0.020192213693352775","0.12616007236075244","0.12616007236075244","0.12616007236075244","0.036151202276130744","0.036151202276130744","0.036151202276130744","0.041224080613950775","0.041224080613950775","0.041224080613950775","0.041028910351865545","0.041028910351865545","0.041028910351865545","0.03330306567228815","0.03330306567228815","0.03330306567228815","0.02856044666944904","0.02856044666944904","0.02856044666944904","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"7.999","7114.4838709677415","6800","7769","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3108206025805901","0.3108206025805901","0.3108206025805901","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.12616007236075244","0.12616007236075244","0.12616007236075244","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.3381967401351109","0.3381967401351109","0.3381967401351109","0.30627706600748106","0.30627706600748106","0.30627706600748106","0.0439138396487489","0.0439138396487489","0.0439138396487489","0.019030685045106566","0.019030685045106566","0.019030685045106566","0.23450147320314846","0.23450147320314846","0.23450147320314846","0.036332254857566484","0.036332254857566484","0.036332254857566484","0.043371858733236845","0.043371858733236845","0.043371858733236845","0.044705231377895095","0.044705231377895095","0.044705231377895095","0.03412720505932735","0.03412720505932735","0.03412720505932735","0.03280442439959906","0.03280442439959906","0.03280442439959906","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
"8.999","8084.4838709677415","7770","8739","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3442127321269354","0.3108206025805901","0.3108206025805901","0.3108206025805901","0.08016349720342676","0.08016349720342676","0.08016349720342676","0.09244872163427938","0.09244872163427938","0.09244872163427938","0.23450147320314846","0.23450147320314846","0.23450147320314846","0.0856569296108233","0.0856569296108233","0.0856569296108233","0.0945060029081487","0.0945060029081487","0.0945060029081487","0.09233013629652415","0.09233013629652415","0.09233013629652415","0.08417573454168298","0.08417573454168298","0.08417573454168298","0.09440657358369223","0.09440657358369223","0.09440657358369223","0.32912687374560456","0.32912687374560456","0.32912687374560456","0.2971586764784969","0.2971586764784969","0.2971586764784969","0.04356439321281801","0.04356439321281801","0.04356439321281801","0.02046317118364885","0.02046317118364885","0.02046317118364885","0.34397106506788083","0.34397106506788083","0.34397106506788083","0.03853090225170705","0.03853090225170705","0.03853090225170705","0.04529366138353904","0.04529366138353904","0.04529366138353904","0.045739107190348294","0.045739107190348294","0.045739107190348294","0.03602835832086737","0.03602835832086737","0.03602835832086737","0.03711241463916793","0.03711241463916793","0.03711241463916793","0","0","0","0","0","0","0.2022040558317925","0.2022040558317925","0.2022040558317925","0.2226388264998705","0.2226388264998705","0.2226388264998705","0","0","0","0.22414027844546713","0.22414027844546713","0.22414027844546713","0.22306011027945927","0.22306011027945927","0.22306011027945927","0.22222896348524063","0.22222896348524063","0.22222896348524063","0.22472185600980327","0.22472185600980327","0.22472185600980327","0.22218119530417685","0.22218119530417685","0.22218119530417685"
